System_Requirement,Software_Requirement,SIL,Hazards,VER_Verified,Comments
SYS-REQ-029,REQ-PERF-006,3,,PENDING,
SYS-REQ-029,REQ-PERF-007,3,,PENDING,
SYS-REQ-030,REQ-SAFE-006,3,"HAZ-005, HAZ-009",PENDING,
SYS-REQ-030,REQ-SAFE-016,3,,PENDING,
SYS-REQ-031,REQ-FUN-018,1,,PENDING,
SYS-REQ-034,REQ-PERF-003,3,"HAZ-002, HAZ-004",PENDING,
SYS-REQ-035,REQ-PERF-002,3,HAZ-003,PENDING,
SYS-REQ-036,REQ-PERF-001,3,,PENDING,
SYS-REQ-036,REQ-PERF-008,2,,PENDING,
SYS-REQ-036,REQ-PERF-009,3,,PENDING,
SYS-REQ-036,REQ-PERF-010,2,,PENDING,
SYS-REQ-039,REQ-REL-001,3,,PENDING,
SYS-REQ-040,REQ-INT-001,3,,PENDING,
SYS-REQ-041,REQ-INT-002,3,,PENDING,
SYS-REQ-042,REQ-INT-003,3,"HAZ-002, HAZ-004",PENDING,
SYS-REQ-043,REQ-INT-004,3,HAZ-001,PENDING,
SYS-REQ-044,REQ-INT-005,3,"HAZ-001, HAZ-005",PENDING,
SYS-REQ-045,REQ-INT-011,2,HAZ-008,PENDING,
SYS-REQ-046,REQ-INT-007,3,HAZ-003,PENDING,
SYS-REQ-046,REQ-SAFE-015,3,HAZ-003,PENDING,
SYS-REQ-047,REQ-INT-007,3,HAZ-003,PENDING,
SYS-REQ-048,REQ-INT-012,2,,PENDING,
SYS-REQ-049,REQ-INT-009,3,,PENDING,
SYS-REQ-050,REQ-INT-013,1,,PENDING,
SYS-REQ-051,REQ-INT-012,2,,PENDING,
SYS-REQ-060,REQ-INT-010,3,HAZ-009,PENDING,
SYS-REQ-060,REQ-SAFE-010,3,HAZ-009,PENDING,
SYS-REQ-060,REQ-SAFE-019,3,,PENDING,
SYS-REQ-060,REQ-SAFE-020,3,,PENDING,
SYS-REQ-061,REQ-SAFE-007,3,,PENDING,
SYS-REQ-061,REQ-SAFE-017,3,,PENDING,
SYS-REQ-062,REQ-REL-002,3,,PENDING,
SYS-REQ-063,REQ-SAFE-009,3,,PENDING,
SYS-REQ-064,REQ-INT-006,3,HAZ-009,PENDING,
SYS-REQ-064,REQ-SAFE-008,3,HAZ-009,PENDING,
SYS-REQ-065,REQ-REL-002,3,,PENDING,
SYS-REQ-066,REQ-REL-003,3,,PENDING,
SYS-REQ-066,REQ-SAFE-013,3,,PENDING,
SYS-REQ-066,REQ-SAFE-014,3,,PENDING,
SYS-REQ-067,REQ-REL-001,3,,PENDING,
SYS-REQ-068,REQ-REL-004,2,,PENDING,
SYS-REQ-070,REQ-FUN-018,1,,PENDING,
SYS-REQ-073,REQ-SEC-001,2,,PENDING,
SYS-REQ-073,REQ-SEC-003,2,,PENDING,
SYS-REQ-074,REQ-SEC-002,2,,PENDING,
SYS-REQ-50128,REQ-OPR-007,3,,PENDING,
