source_id,target_id,rationale,verification_method,status
SW-HAZ-002,COMP-003-OBD,OBD mitigates door closes on passenger via obstacle detection,Hazard analysis + safety case,verified
SW-HAZ-003,COMP-004-DSM,DSM mitigates false lock indication via 2oo2 sensor voting,Hazard analysis + safety case,verified
SW-HAZ-003,COMP-001-SKN,SKN cross-channel comparison prevents false departure signal,Hazard analysis + safety case,verified
SW-HAZ-004,COMP-004-DSM,DSM mitigates loss of position indication via sensor timeout,Hazard analysis + safety case,verified
SW-HAZ-005,COMP-005-FMG,FMG classifies faults to prevent spurious safe state,Hazard analysis + FMEA,verified
SW-HAZ-006,COMP-008-HAL,HAL implements watchdog refresh to detect software failures,Hazard analysis + hardware test,verified
SW-HAZ-007,COMP-006-TCI,TCI mitigates CAN speed data loss via timeout detection,Hazard analysis + fault injection,verified
SW-HAZ-008,COMP-001-SKN,SKN implements memory integrity checks (CRC + stack canary),Hazard analysis + static analysis,verified
SW-HAZ-009,COMP-004-DSM,DSM handles emergency release with latching and logging,Hazard analysis + integration test,verified
SW-HAZ-010,COMP-005-FMG,FMG enforces selective disablement authorization and logging,Hazard analysis + security test,verified
SW-HAZ-011,COMP-001-SKN,SKN implements SPI transient filter (3-cycle confirmation) to prevent denial-of-safe-operation,FMEA OI-FMEA-001 + design analysis,verified
