source_id,target_id,verified_by,verification_date,comments
TC-OSTS-FUNC-033,REQ-FUN-011,,,
TC-OSTS-FUNC-034,REQ-FUN-012,,,
TC-OSTS-FUNC-035,REQ-FUN-012,,,
TC-OSTS-FUNC-036,REQ-FUN-012,,,
TC-OSTS-FUNC-037,REQ-FUN-013,,,
TC-OSTS-FUNC-038,REQ-FUN-013,,,
TC-OSTS-FUNC-039,REQ-FUN-013,,,
TC-OSTS-FUNC-040,REQ-FUN-014,,,
TC-OSTS-FUNC-041,REQ-FUN-014,,,
TC-OSTS-FUNC-042,REQ-FUN-014,,,
TC-OSTS-FUNC-043,REQ-FUN-015,,,
TC-OSTS-FUNC-044,REQ-FUN-015,,,
TC-OSTS-FUNC-045,REQ-FUN-015,,,
TC-OSTS-FUNC-046,REQ-FUN-015,,,
TC-OSTS-FUNC-047,REQ-FUN-015,,,
TC-OSTS-FUNC-048,REQ-FUN-015,,,
TC-OSTS-FUNC-049,REQ-FUN-016,,,
TC-OSTS-FUNC-050,REQ-FUN-016,,,
TC-OSTS-FUNC-051,REQ-FUN-016,,,
TC-OSTS-FUNC-052,REQ-FUN-017,,,
TC-OSTS-FUNC-053,REQ-FUN-017,,,
TC-OSTS-FUNC-054,REQ-FUN-017,,,
TC-OSTS-FUNC-055,REQ-FUN-017,,,
TC-OSTS-FUNC-056,REQ-FUN-017,,,
TC-OSTS-FUNC-057,REQ-FUN-017,,,
TC-OSTS-FUNC-058,REQ-FUN-017,,,
TC-OSTS-FUNC-059,REQ-FUN-018,,,
TC-OSTS-FUNC-060,REQ-FUN-018,,,
TC-OSTS-FUNC-061,REQ-FUN-018,,,
TC-OSTS-FUNC-062,REQ-FUN-018,,,
TC-OSTS-INT-001,REQ-INT-001,,,
TC-OSTS-INT-002,REQ-INT-001,,,
TC-OSTS-INT-003,REQ-INT-001,,,
TC-OSTS-INT-004,REQ-INT-001,,,
TC-OSTS-INT-005,REQ-INT-002,,,
TC-OSTS-INT-006,REQ-INT-002,,,
TC-OSTS-INT-007,REQ-INT-003,,,
TC-OSTS-INT-008,REQ-INT-003,,,
TC-OSTS-INT-009,REQ-INT-003,,,
TC-OSTS-INT-010,REQ-INT-003,,,
TC-OSTS-INT-011,REQ-INT-004,,,
TC-OSTS-INT-012,REQ-INT-004,,,
TC-OSTS-INT-013,REQ-INT-005,,,
TC-OSTS-INT-014,REQ-INT-005,,,
TC-OSTS-INT-015,REQ-INT-006,,,
TC-OSTS-INT-016,REQ-INT-006,,,
TC-OSTS-INT-017,REQ-INT-007,,,
TC-OSTS-INT-018,REQ-INT-007,,,
TC-OSTS-INT-019,REQ-INT-007,,,
TC-OSTS-INT-020,REQ-INT-007,,,
TC-OSTS-INT-021,REQ-INT-008,,,
TC-OSTS-INT-022,REQ-INT-008,,,
TC-OSTS-INT-023,REQ-INT-009,,,
TC-OSTS-INT-024,REQ-INT-009,,,
TC-OSTS-INT-025,REQ-INT-010,,,
TC-OSTS-INT-026,REQ-INT-010,,,
TC-OSTS-INT-027,REQ-INT-010,,,
TC-OSTS-INT-028,REQ-INT-011,,,
TC-OSTS-INT-029,REQ-INT-012,,,
TC-OSTS-INT-030,REQ-INT-013,,,
TC-OSTS-INT-031,REQ-INT-013,,,
TC-OSTS-OPR-001,REQ-OPR-001,,,
TC-OSTS-OPR-002,REQ-OPR-001,,,
TC-OSTS-OPR-003,REQ-OPR-002,,,
TC-OSTS-OPR-004,REQ-OPR-003,,,
TC-OSTS-OPR-005,REQ-OPR-003,,,
TC-OSTS-OPR-006,REQ-OPR-004,,,
TC-OSTS-OPR-007,REQ-OPR-005,,,
TC-OSTS-OPR-008,REQ-OPR-006,,,
TC-OSTS-OPR-009,REQ-OPR-007,,,
TC-OSTS-OPR-010,REQ-OPR-008,,,
TC-OSTS-OPR-011,REQ-OPR-008,,,
TC-OSTS-REL-001,REQ-REL-001,,,
TC-OSTS-REL-002,REQ-REL-001,,,
TC-OSTS-REL-003,REQ-REL-002,,,
TC-OSTS-REL-004,REQ-REL-003,,,
TC-OSTS-REL-005,REQ-REL-004,,,
TC-OSTS-SAFE-001,REQ-SAFE-001,,,
TC-OSTS-SAFE-002,REQ-SAFE-001,,,
TC-OSTS-SAFE-003,REQ-SAFE-001,,,
TC-OSTS-SAFE-004,REQ-SAFE-001,,,
TC-OSTS-SAFE-005,REQ-SAFE-001,,,
TC-OSTS-SAFE-006,REQ-SAFE-002,,,
TC-OSTS-SAFE-007,REQ-SAFE-002,,,
TC-OSTS-SAFE-008,REQ-SAFE-002,,,
TC-OSTS-SAFE-009,REQ-SAFE-003,,,
TC-OSTS-SAFE-010,REQ-SAFE-003,,,
TC-OSTS-SAFE-011,REQ-SAFE-003,,,
TC-OSTS-SAFE-012,REQ-SAFE-004,,,
TC-OSTS-SAFE-013,REQ-SAFE-004,,,
TC-OSTS-SAFE-014,REQ-SAFE-004,,,
TC-OSTS-SAFE-015,REQ-SAFE-004,,,
TC-OSTS-SAFE-016,REQ-SAFE-005,,,
TC-OSTS-SAFE-017,REQ-SAFE-005,,,
TC-OSTS-SAFE-018,REQ-SAFE-005,,,
TC-OSTS-SAFE-019,REQ-SAFE-006,,,
TC-OSTS-SAFE-020,REQ-SAFE-006,,,
TC-OSTS-SAFE-021,REQ-SAFE-006,,,
TC-OSTS-SAFE-022,REQ-SAFE-006,,,
TC-OSTS-SAFE-023,REQ-SAFE-006,,,
TC-OSTS-SAFE-024,REQ-SAFE-006,,,
TC-OSTS-SAFE-025,REQ-SAFE-006,,,
TC-OSTS-SAFE-026,REQ-SAFE-007,,,
TC-OSTS-SAFE-027,REQ-SAFE-007,,,
TC-OSTS-SAFE-028,REQ-SAFE-008,,,
TC-OSTS-SAFE-029,REQ-SAFE-008,,,
TC-OSTS-SAFE-030,REQ-SAFE-008,,,
TC-OSTS-SAFE-031,REQ-SAFE-009,,,
TC-OSTS-SAFE-032,REQ-SAFE-009,,,
TC-OSTS-SAFE-033,REQ-SAFE-009,,,
TC-OSTS-SAFE-034,REQ-SAFE-009,,,
TC-OSTS-SAFE-035,REQ-SAFE-009,,,
TC-OSTS-SAFE-036,REQ-SAFE-010,,,
TC-OSTS-SAFE-037,REQ-SAFE-010,,,
TC-OSTS-SAFE-038,REQ-SAFE-010,,,
TC-OSTS-SAFE-039,REQ-SAFE-011,,,
TC-OSTS-SAFE-040,REQ-SAFE-011,,,
TC-OSTS-SAFE-041,REQ-SAFE-011,,,
TC-OSTS-SAFE-042,REQ-SAFE-012,,,
TC-OSTS-SAFE-043,REQ-SAFE-012,,,
TC-OSTS-SAFE-044,REQ-SAFE-012,,,
TC-OSTS-SAFE-045,REQ-SAFE-013,,,
TC-OSTS-SAFE-046,REQ-SAFE-013,,,
TC-OSTS-SAFE-047,REQ-SAFE-013,,,
TC-OSTS-SAFE-048,REQ-SAFE-014,,,
TC-OSTS-SAFE-049,REQ-SAFE-015,,,
TC-OSTS-SAFE-050,REQ-SAFE-015,,,
TC-OSTS-SAFE-051,REQ-SAFE-015,,,
TC-OSTS-SAFE-052,REQ-SAFE-016,,,
TC-OSTS-SAFE-053,REQ-SAFE-016,,,
TC-OSTS-SAFE-054,REQ-SAFE-017,,,
TC-OSTS-SAFE-055,REQ-SAFE-017,,,
TC-OSTS-SAFE-056,REQ-SAFE-018,,,
TC-OSTS-SAFE-057,REQ-SAFE-018,,,
TC-OSTS-SAFE-058,REQ-SAFE-019,,,
TC-OSTS-SAFE-059,REQ-SAFE-019,,,
TC-OSTS-SAFE-060,REQ-SAFE-020,,,
TC-OSTS-SAFE-061,REQ-SAFE-020,,,
TC-OSTS-SAFE-062,REQ-SAFE-021,,,
TC-OSTS-SAFE-063,REQ-SAFE-021,,,
TC-OSTS-SEC-001,REQ-SEC-001,,,
TC-OSTS-SEC-002,REQ-SEC-001,,,
TC-OSTS-SEC-003,REQ-SEC-002,,,
TC-OSTS-SEC-004,REQ-SEC-003,,,
TC-OSTS-SEC-005,REQ-SEC-003,,,
TC-OSTS-SEC-006,REQ-SEC-003,,,
